Recalls (#),Critical Word (Y/N),Condition,,
,,,,
9,Y,4,friend,red
8,Y,2,friend,green
4,Y,2,friend,green
9,Y,3,crisis,green
9,Y,4,friend ,red
6,Y,1,crisis,red
7,Y,4,friend,red
4,Y,2,friend,green
8,Y,2,friend,green
8,Y,4,friend,red
5,N,4,friend,red
5,Y,4,friend,red
8,Y,2,friend,green
5,Y,4,friend,red
7,Y,1,crisis,red
7,Y,3,crisis,green
6,Y,4,friend,red
6,N,3,crisis,green
9,Y,1,crisis,red
6,Y,2,friend,green
7,Y,3,crisis,green
5,Y,3,crisis,green
7,Y,1,crisis,red
8,Y,3,crisis,green
7,Y,1,crisis,red
2,N,3,crisis,green
5,Y,4,friend,red
8,Y,2,friend,green
4,N,3,crisis,green
7,Y,3,crisis,green
5,Y,2,friend,green
4,Y,1,crisis,red
